x,Lives
0,1.00E+05
1,97957.83
2,97826.26
3,97706.55
4,97596.74
5,97495.03
6,97399.78
7,97309.5
8,97222.86
9,97138.66
10,97055.88
11,96973.63
12,96891.16
13,96807.88
14,96723.36
15,96637.3
16,96549.54
17,96459.92
18,96368.26
19,96274.36
20,96178
21,96078.95
22,95976.93
23,95871.67
24,95762.86
25,95650.15
26,95533.17
27,95411.51
28,95284.73
29,95152.33
30,95013.79
31,94868.53
32,94715.89
33,94555.2
34,94385.7
35,94206.55
36,94016.86
37,93815.64
38,93601.83
39,93374.25
40,93131.64
41,92872.62
42,92595.7
43,92299.23
44,91981.47
45,91640.5
46,91274.25
47,90880.48
48,90456.78
49,90000.55
50,89509
51,88979.11
52,88407.68
53,87791.26
54,87126.2
55,86408.6
56,85634.33
57,84799.07
58,83898.25
59,82927.11
60,81880.73
61,80754.01
62,79541.78
63,78238.78
64,76839.78
65,75339.63
66,73733.37
67,72016.33
68,70184.31
69,68233.66
70,66161.54
71,63966.08
72,61646.62
73,59203.93
74,56640.5
75,53960.8
76,51171.51
77,48281.81
78,45303.6
79,42251.62
80,39143.64
81,36000.37
82,32845.41
83,29704.95
84,26607.34
85,23582.45
86,20660.9
87,17872.99
88,15247.58
89,12810.83
90,10584.91
91,8586.754
92,6827.072
93,5309.585
94,4030.724
95,2979.811
96,2139.766
97,1488.323
98,999.6458
99,646.1717
100,400.4946
101,237.0452
102,133.3892
103,71.01463
104,35.57879
105,16.67652
106,7.266065
107,2.922218
108,1.07644
109,0.3601234
110,0.1084085
111,0.02906711
112,0.006864628
113,0.001410556
114,0.000248823
115,3.71E-05
116,4.61E-06
117,4.68E-07
118,3.82E-08
119,2.44E-09
120,1.20E-10
121,4.39E-12
122,1.17E-13
123,2.20E-15
124,2.82E-17
125,2.38E-19
126,1.26E-21
127,4.04E-24
128,7.45E-27
129,7.47E-30
130,3.85E-33
131,9.54E-37
132,1.06E-40
133,4.92E-45
134,8.70E-50
135,5.35E-55
136,1.03E-60
137,5.61E-67
138,7.58E-74
139,2.23E-81